#  R			g		Pressure
   5337.33350       9.96734524       47.8022308    
   5370.16748       9.97145939       45.7468185    
   5403.00049       9.97574043       43.7253418    
   5435.83350       9.98017216       41.7369080    
   5468.66748       9.98474121       39.7806892    
   5501.50049       9.98943710       37.8559837    
   5534.33350       9.99424553       35.9620399    
   5567.16748       9.99915504       34.0980721    
   5600.00049       10.0041494       32.2635460    
   5600.00049       10.0041494       32.2635460    
   5625.25049       10.0080452       30.8723049    
   5650.50049       10.0119801       29.4977665    
   5675.75049       10.0159464       28.1396790    
   5701.00049       10.0199423       26.7978172    
   5701.00049       10.0199423       26.7978172    
   5724.33350       10.0161734       25.6421413    
   5747.66748       10.0126610       24.4993324    
   5771.00049       10.0093985       23.3692150    
   5771.00049       10.0093985       23.3692150    
   5796.00049       10.0059080       22.1746216    
   5821.00049       10.0021620       20.9991627    
   5846.00049       9.99815655       19.8426762    
   5871.00049       9.99389076       18.7048969    
   5896.00049       9.98936558       17.5857410    
   5921.00049       9.98457718       16.4849720    
   5946.00049       9.97952557       15.4024258    
   5971.00049       9.97421169       14.3379498    
   5971.00049       9.97421169       14.3379498    
   5993.50049       9.96594810       13.4294586    
   6016.00049       9.95777321       12.5326414    
   6038.50049       9.94968414       11.6473255    
   6061.00049       9.94167995       10.7732954    
   6083.50049       9.93375206       9.91049576    
   6106.00049       9.92590237       9.05860233    
   6128.50049       9.91812706       8.21755028    
   6151.00049       9.91042137       7.38714933    
   6151.00049       9.91042137       7.38714933    
   6174.33350       9.90117455       6.55188322    
   6197.66748       9.89233112       5.72416067    
   6221.00049       9.88387966       4.90393066    
   6244.33350       9.87582111       4.09083700    
   6267.66748       9.86814499       3.28476071    
   6291.00049       9.86084747       2.48550749    
   6291.00049       9.86084747       2.48550749    
   6309.54346       9.85531616       1.85506141    
   6328.08643       9.85001850       1.22869384    
   6346.62939       9.84494972      0.606322050    
   6346.62939       9.84494972      0.606322050    
   6351.31445       9.84181786      0.471753687    
   6356.00049       9.83869934      0.337444186    
   6356.00049       9.83869934      0.337444186    
   6362.00049       9.83322239      0.183493927    
   6368.00049       9.82777023       3.00514493E-02
   6368.00049       9.82777023       3.00514493E-02
   6369.50049       9.82442474       1.50104528E-02
   6371.00049       9.82108116       0. 
