# AK135 Kennett, Engdahl & Buland (1995) 
# Depth(m) 	 Radius(m) 	 Density(g/m^3) 	 Vp(m/s) 	 Vs(m/s) 	 Qmu 	 Qk
2.047000e+06	4.324000e+06	5.126400e+03	1.285240e+04	6.941600e+03	4.115200e+02	1.058030e+03
2.096500e+06	4.274500e+06	5.149900e+03	1.290930e+04	6.962500e+03	4.065000e+02	1.048090e+03
2.146000e+06	4.225000e+06	5.173200e+03	1.296630e+04	6.985200e+03	4.032300e+02	1.042070e+03
2.195500e+06	4.175500e+06	5.196300e+03	1.302260e+04	7.006900e+03	3.984100e+02	1.032140e+03
2.245000e+06	4.126000e+06	5.219200e+03	1.307860e+04	7.028600e+03	3.921600e+02	1.018380e+03
2.294500e+06	4.076500e+06	5.242000e+03	1.313370e+04	7.050400e+03	3.876000e+02	1.008790e+03
2.344000e+06	4.027000e+06	5.264600e+03	1.318950e+04	7.072200e+03	3.831400e+02	9.994400e+02
2.393500e+06	3.977500e+06	5.287000e+03	1.324650e+04	7.093200e+03	3.787900e+02	9.907700e+02
2.443000e+06	3.928000e+06	5.309200e+03	1.330170e+04	7.114400e+03	3.759400e+02	9.856300e+02
2.492500e+06	3.878500e+06	5.331300e+03	1.335840e+04	7.136800e+03	3.717500e+02	9.768100e+02
2.542000e+06	3.829000e+06	5.353100e+03	1.341560e+04	7.158400e+03	3.676500e+02	9.684600e+02
2.591500e+06	3.779500e+06	5.374800e+03	1.347410e+04	7.180400e+03	3.636400e+02	9.603600e+02
2.640000e+06	3.731000e+06	5.396200e+03	1.353110e+04	7.203100e+03	3.597100e+02	9.520000e+02
2.690000e+06	3.681000e+06	5.417600e+03	1.358990e+04	7.225300e+03	3.546100e+02	9.408800e+02
2.740000e+06	3.631000e+06	5.438700e+03	1.364980e+04	7.248500e+03	3.508800e+02	9.332100e+02
2.740000e+06	3.631000e+06	5.693400e+03	1.364980e+04	7.248500e+03	2.717400e+02	7.227300e+02
2.789670e+06	3.581330e+06	5.719600e+03	1.365330e+04	7.259300e+03	2.739700e+02	7.268700e+02
2.839330e+06	3.531670e+06	5.745800e+03	1.365700e+04	7.270000e+03	2.739700e+02	7.251100e+02
2.891500e+06	3.479500e+06	5.772100e+03	1.366010e+04	7.281700e+03	2.739700e+02	7.231200e+02
